"Aaron Callan",,,,
"Amber Hamill",,,,
"Anthony Flynn",,,,
"Barbara Dempsey",,,,
"Barney Fitzpatrick","Q98266307","2010 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
"Bernadette Archibald",,,,
"Bernard Fitzpatrick",,,,
"Boyd Douglas",,,,
"Chris McCaw","Q76130654","2016 Northern Ireland Assembly election","Foyle","Alliance Party of Northern Ireland"
"Cliona O'Kane",,,,
"Dave Gilmour",,,,
"David Harding","Q98273339","2010 United Kingdom general election","Foyle","Ulster Conservatives and Unionists"
"David Nelson",,,,
"Edwin Stevenson",,,,
"Gavin Campbell",,,,
"John McIlhenny",,,,
"Jordan Armstrong",,,,
"Lesley Macaulay","Q98266441","2010 United Kingdom general election","East Londonderry","Ulster Conservatives and Unionists"
"Leslie Cubitt",,,,
"Malachy O'Kane","Q98266445","1997 United Kingdom general election","East Londonderry","Sinn Féin"
"Marion Baur",,,,
"Maura McCann","Q98263548","1997 United Kingdom general election","East Antrim","Natural Law Party"
"Maurice Bradley",,,,
"Michael McGonigle",,,,
"Orla Beattie",,,,
"Phillippe Moison",,,,
"Roger McPherson",,,,
"Russell Watton",,,,
"Steven Parkhill",,,,
"Stuart Canning","Q98345789","2017 Northern Ireland Assembly election","Foyle","Northern Ireland Conservatives"
"Thomas Conway","Q98266487","2010 United Kingdom general election","East Londonderry","Social Democratic and Labour Party"
"Victor Christie",,,,
"William McCandless","Q98266491","2015 United Kingdom general election","East Londonderry","Ulster Unionist Party"
"Yvonne Boyle","Q98266544","1997 United Kingdom general election","East Londonderry","Alliance Party of Northern Ireland"
